Product,Category,Type,Quantity,Count Time（date/hour/minute）
Mega dream ,Pokemon,Box,3,
Limit over collection ,Yugioh,Bundle,14,
Eb03,One piece ,Sleeved pack,8,
Black bolt,Pokemon,Pack,58,
Ghost from the past,Yugioh,Booster box?,4,
Op07,One piece,Bundle,2,
Eb04,One piece ,Bundle,5,
Astral radiance,Pokemon ,Sleeved pack,4,
Evolving skies ,Pokemon,Sleeved pack ,3,
Rarity collection,Yugioh,Bundle,2,
Theme collection/ Histoy son of Goku,Dragon Ball Z,Display box,1,
Ns Japanese Box,Pokemon,Japanese display box?,1,
Prismatic evolution ,Pokemon,ETB,4,
Chinese obsidian flames,Pokemon,Case,1,
Chinese gem 2,Pokemon,Case,1,
Perfect order ,Pokemon,ETB,5,
The Goddess of victory's,Nikke,Case,1,