Product,Category,Type,Quantity
Mega Evo ETB PC,Pokemon ENG,ETB,2
Primsatic Evo ETB,Pokemon ENG,ETB,13
Perfect Order,Pokemon ENG,ETB,125
White Flare ,Pokemon ENG,Packs,303
Black Bolt ,Pokemon ENG,Packs,240
Forces of Nature GX Box,Pokemon ENG,Other,1
Venusaur Vmax Box,Pokemon ENG,Other,1
Holiday Calendar 2025,Pokemon ENG,Other,1
V Battle Decks,Pokemon ENG,Deck,2
EX Battle Decks,Pokemon ENG,Deck,5
Perfect order build and battle box sealed ,Pokemon ENG,Other,1
Phantasmal Flames build and battle box sealed ,Pokemon ENG,Other,1
Mega Brave Booster Box JP,Pokemon JP,Box,1
Mega Symphonia Booster Box JP,Pokemon JP,Box,1
Mega Dream sealed,Pokemon JP,Box,41
Ninja Spinner Sealed,Pokemon JP,Box,26
Ninja Spinner No seal,Pokemon JP,Box,6
Mystery Box Collection box JP,Pokemon JP,Box,1
PC Tohoku Special Box JP,Pokemon JP,Box,3
PC 2019 Mewtwo Strikes Back Evo Movie Special JP,Pokemon JP,Box,2
Detective Pikachu Box JP,Pokemon JP,Box,3
PC Hiroshima Special Box JP,Pokemon JP,Box,3
S/V Starter Deck Ancient Koraidon EX JP,Pokemon JP,Deck,1
S/V Starter Deck Generations JP,Pokemon JP,Deck,2
Raihan Trainer Card Collection JP,Pokemon JP,Other,1
PoGo Special Set JP,Pokemon JP,Other,1
Black Crystal Blaze Jumbo,Pokemon Chinese,Booster Box,36
Vivid Portrayals Indigo ,Pokemon Chinese,Booster Box,24
True Mystic,Pokemon Chinese,Booster Box,40
Gem Pack Vol 2,Pokemon Chinese,Booster Box,180
Big Into Energy,Other,Other,12
EB-04 JP,One Piece,Box,12
OP 15 JP,One Piece,Box,9
PRB-02,One Piece,Box,1
Limit Over Collection The Rivals,Yu-Gi-Oh,Box,46
Yu-Gi-Oh Rarity Collection Quarter Centers Edition,Yu-Gi-Oh,Box,160
Nikke ,Weiß Schwarz,Box,195
Hololive,???,Box,72
Eminence In shadow,Weiß Schwarz,Box,48