Name,Language,Market Price,Tiers,
Perfect Order Booster Pack,English,5.9,1,
Perfect Order Booster Bundle,English,38.7,,
Ascended Heroes Booster Pack,English,12.3,1,
Phantasmal Flames Booster Pack,English,9.9,1,
Phantasmal Flames Booster Bundle,English,63.2,,
Mega Evolution Booster Pack,English,6.9,,
Mega Evolution Sleeved Booster Pack,English,9.0,,
Mega Evolution Booster Bundle,English,55.9,,
White Flare Booster Pack,English,10.2,1,
White Flare Booster Bundle,English,58.8,,
Black Bolt Booster Pack,English,11.1,1,
Black Bolt Booster Bundle,English,66.3,,
Destined Rivals Booster Pack,English,8.7,1,
Destined Rivals Sleeved Booster Pack,English,9.8,,
Destined Rivals Booster Bundle,English,70.2,,11.7
Journey Together Booster Pack,English,6.0,,
Journey Together Sleeved Booster Packs,English,7.4,,
Journey Together 3 Pack Blister,English,29.9,,10.0
Journey Together Booster Bundle,English,44.0,,7.3
Surging Sparks Booster Pack,English,7.0,,
Surging Sparks Sleeved Booster Pack,English,9.6,,
Surging Sparks booster bundle,English,48.4,,8.1
Prismatic Evolutions Booster Pack,English,13.2,1,
Prismatic Evolutions 2-Pack Blister,English,34.3,,17.1
SV Prismatic Evolutions Booster Bundle,English,82.6,,13.8
Stellar Crown Booster Packs,English,8.6,,
Stellar Crown Booster Bundle,English,67.0,,
Twilight Masquerade Booster Pack,English,7.1,,
Twilight Masquerade Sleeved Booster Pack,English,9.4,,
Paldean Fates Booster Pack,English,19.9,,
Paldean Fates Booster Bundle,English,148.0,,
Temporal Forces Booster Pack,English,8.5,,
Temporal Forces Sleeved Booster Pack,English,8.9,,
temporal forces blister 3 pack,English,23.3,,
Temporal Forces Booster Bundle,English,79.4,,
Paradox Rift: Booster Pack,English,8.6,,
Paradox Rift Sleeved Booster Pack,English,9.1,,
Pokemon 151 Booster Pack,English,27.5,1,
SV 151 Booster Bundle,English,192.9,,
Obsidian Flames Sleeved Booster Pack,English,12.1,,
Obsidian Flames Booster Bundle,English,86.6,,
paldea evolved blister packs,English,48.6,,
Crown Zenith Booster Pack,English,23.3,1,
Crown Zenith Booster Bundle,English,185.3,,
Lost Origin Sleeved Booster Pack,English,18.3,,
Astral Radiance Booster Pack,English,9.1,,
Astral Radiance Sleeved Booster Pack,English,11.2,,
Brilliant Stars Booster Pack,English,12.7,,
Brilliant Stars Single Pack Blister,English,16.7,,
Fusion Strike Sleeved Booster Pack,English,23.7,,
Chilling Reign Booster Pack,English,11.0,,
Chilling Reign Single Pack Blister,English,22.9,,
Battle Styles Booster Pack,English,7.9,,
Vivid Voltage Booster Pack,English,8.2,,
Vivid Voltage Sleeved Booster Pack,English,8.8,,
Rebel Clash Sleeved Booster Pack,English,10.4,,
Sword & Shield Booster Pack,English,8.4,,
Celebrations Booster Pack,English,33.1,1,
Sun & Moon Booster Pack,English,19.4,,
Perfect Order Booster Box,English,204.0,,5.666388889
Perfect Order Elite Trainer Box,English,68.8,,
Perfect Order Build & Battle Box,English,39.2,,
Phantasmal Flames Booster Box,English,389.2,,
Phantasmal Flames Build & Battle Box,English,55.2,,
Mega Evolution Enhanced Booster  Box,English,298.3,,
Mega Evolution Enhanced Booster Display Box w/ promo,English,298.3,,
Mega Evolution Elite Trainer Box,English,95.1,,
Mega Evolution Pokemon Center Elite Trainer Box [Mega Gardevoir],English,217.1,,
Mega Evolution Pokemon Center Elite Trainer Box [Mega Lucario],English,245.3,,
White Flare Elite Trainer Box,English,103.8,,
Black Bolt Elite Trainer Box,English,115.9,,
Destined Rivals Booster Box,English,594.5,,
Destined Rivals Elite Trainer Box,English,219.0,,
Journey Together Enhanced Booster Box,English,261.8,,
Journey Together Elite Trainer Box,English,108.7,,
Surging Sparks Booster Box,English,253.4,,
Surging Sparks Elite Trainer Box,English,107.4,,
Surging Sparks Pokemon Center Elite Trainer Box,English,285.4,,
Prismatic Evolutions Elite Trainer Box,English,161.6,,
Stellar Crown Booster Box,English,308.9,,
Shrouded Fable Elite Trainer Box,English,90.0,,
Shrouded Fable Pokemon Center Elite Trainer Box,English,149.4,,
Twilight Masquerade Booster Box,English,340.0,,
Twilight Masquerade Elite Trainer Box,English,90.9,,
Paldean Fates Pokemon Center Elite Trainer Box,English,599.5,,
Temporal Forces Booster Box,English,296.7,,
Temporal Forces Elite Trainer Box,English,107.3,,
Paradox Rift Booster Box,English,267.9,,
151 Elite Trainer Box,English,600.8,,
Obsidian Flames Booster Box,English,374.8,,
Obsidian Flames Pokemon Center Elite Trainer Box,English,662.7,,
Paldea Evolved Booster Box,English,450.2,,
Paldea Evolved Elite Trainer Box,English,186.9,,
Scarlet & violet Booster Box,English,261.2,,
Scarlet & Violet Elite Trainer Box,English,115.8,,
Crown zenith Elite Trainer Box,English,304.8,,
Silver Tempest Booster Box,English,454.6,,
Silver Tempest Elite Trainer Box,English,139.1,,
Lost Origin Booster Box,English,725.4,,
Lost origin PC Elite Trainer Box,English,309.1,,
Astral Radiance Booster Box,English,370.9,,
Astral Radiance Elite Trainer Box,English,120.2,,
Astral radiance PC Elite Trainer Box,English,195.6,,
Brilliant Stars Booster Box,English,595.3,,
Brilliant stars Elite Trainer Box,English,146.5,,
Brilliant Stars Pokemon Center Elite Trainer Box,English,224.8,,
Evolving Skies Elite Trainer Box,English,500.0,,
Chilling reign Booster Box,English,487.0,,
Chilling Reign Elite Trainer Box,English,117.7,,
Battle Styles Booster Box,English,256.3,,
Vivid Voltage Elite Trainer Box,English,126.4,,
Darkness ablaze booster box,English,324.3,,
Sword & Shield Elite Trainer Box,English,137.9,,
Shining fates Elite Trainer Box,English,129.2,,
Celebrations Elite Trainer Box,English,346.2,,
Celebrations Pokemon Center Elite Trainer Box,English,537.7,,
Pokemon GO Booster Box,English,91.5,,
Phantasmal Flames UPC,English,389.2,,
White Flare Binder Collection,English,54.3,,
Black Bolt Binder Collection,English,54.2,,
Unova Mini Tin,English,176.5,,
Unova Victini Illustration Collection,English,56.0,,
Unova Poster Collection,English,36.3,,
Prismatic Evolutions Super Premium Collection,English,335.0,,
Prismatic Evolutions Accessory Pouch Special Collection,English,69.0,,
Prismatic Evolutions Surprise Box,English,61.6,,
Shrouded Fable Mini Tin,English,169.0,,
Paldean Fates Tech Sticker Collection,English,169.0,,
151 Ultra-Premium Collection,English,947.5,,
Costco Pokemon Scarlet & Violet 151 Mini Tin 5-pack,English,273.2,,27.319
Pokemon 151 Tin,English,493.9,,
151 Poster Collection,English,81.2,,
Pikachu VMAX Premium Collection - Crown Zenith,English,147.0,,
Crown Zenith Premium Figure Collection,English,497.9,,45.26363636
Charizard Ultra-Premium Collection,English,504.8,,
Celebrations Ultra-Premium Collection,English,1152.4,,
Celebration's Special Collection [Pikachu V],English,19.7,,
Celebrations Premium Playmat Collection [Pikachu V],English,176.0,,
Forces of Nature GX Premium Box,English,249.0,,
Blastoise VMAX Premium Collection,English,90.4,,
Cynthia's Garchomp ex Premium Collection,English,63.7,,
Venusaur VMAX Premium Collection,English,60.1,,
Lucario VSTAR Special Collection,English,68.8,,
Blooming waters,English,327.2,,
Pokemon Lillie Premium Tournament Collection 4-Box,English,67.1,,
Pokemon TCG Holiday Calendar 2025,English,94.9,,
Team Rocket's Mewtwo ex Box,English,44.5,,