Name,Language,Market Price,Tiers,TCGplayer Price
Ninja Spinner Booster Box Japanese,Japanese,,,$119.28
Nully Zero booster box Japanese,Japanese,59.55,,$72.28
Mega Dreams Booster Box Japanese,Japanese,116.59,,$121.28
Inferno X Booster Box Japanese,Japanese,204.65,,$160.67
Mega Symphonia Booster Box Japanese,Japanese,75.22,,$93.55
Mega Brave Booster Box Japanese,Japanese,89.01,,$99.78
White Flare Booster Box Japanese,Japanese,168.61,,$148.23
White Flare Deluxe  Box Japanese,Japanese,191.17,,$116.95
Black Bolt Booster Box Japanese,Japanese,181.77,,$156.88
Black Bolt Deluxe Box Japanese,Japanese,218.13,,$126.68
SV9 Battle Partners Booster Box Japanese,Japanese,73.18,,$86.30
sv10 The Glory of Team Rocket Box Japanese,Japanese,208.73,,$170.49
Heat Wave Arena Box Japanese,Japanese,159.21,,$123.19
Terastal Festival Japanese Booster Box Japanese,Japanese,156.69,,$131.67
Electric Breaker Booster Box Japanese,Japanese,274.54,,$158.14
Paradise Dragon Booster Box Japanese,Japanese,131.63,,$90.84
SV Stellar miracle Booster Box Japanese,Japanese,66.61,,$78.64
Night Wanderer Booster Box Japanese,Japanese,67.37,,$87.92
Transformation Mask Booster Box Japanese,Japanese,87.75,,$91.96
Cyber Judge Booster BOX sv5M Japanese,Japanese,75.22,,$79.24
Wild Force Booster box Japanese,Japanese,86.66,,$86.42
Crimson Haze Booster Box Japanese,Japanese,100.29,,$95.54
Shiny Treasure booster Box Japanese,Japanese,134.76,,$131.78
Future Flash Booster Box Japanese,Japanese,67.38,,$76.67
Raging Surf Booster Box Japanese,Japanese,84.48,,$100.18
Ruler Of The Black Flame booster Box Japanese,Japanese,152.94,,$117.16
Triplet Beat Booster BOX Japanese,Japanese,131.31,,$112.79
Snow Hazard Booster Box Japanese,Japanese,72.08,,$80.26
Clay Burst Booster Box Japanese,Japanese,81.48,,$96.22
Scarlet ex Booster Box Japanese,Japanese,85.87,,$87.21
Violet ex Booster Box Japanese,Japanese,72.08,,$81.17
Vstar universe booster Box Japanese,Japanese,214.81,,$196.03
Paradigm Trigger Box Japanese,Japanese,213.11,,$126.53
Incandescent Arcana Booster  Box Japanese,Japanese,82.74,,$79.75
Dark Fantasma Enhanced Expansion Box Japanese,Japanese,236.62,,$99.27
Time Gazer Booster Box Japanese,Japanese,125.35,,$118.92
Eevee Heroes Booster Box Japanese,Japanese,1203.45,,$631.47
Dream League booster box Japanese,Japanese,412.44,,$735.48
Shiny Star V Box Japanese,Japanese,153.56,,$123.71
Special Box Pokemon Center Fukuoka Japanese,Japanese,181.69,,$225.45
Special Box Pokemon Center Hiroshima Japanese,Japanese,190.55,,$235.99
Special Box Pokémon Center Tohoku Japanese,Japanese,127.86,,$175.84