Product,Category,Type,Quantity,Date,Count Time（date/hour/minute）
Ninja Spinner,Pokemon JP,Box,2,2026-04-22,
Ninja Spinner,Pokemon JP,Packs,13,2026-04-22,
Mega Dream,Pokemon JP,Box,6,2026-04-22,
Mega Dream,Pokemon JP,Packs,0,2026-04-22,
Black Bolt Booster Pack,Pokemon ENG,Packs,102,2026-04-22,
Dream League,Pokemon JP,Box,1,2026-04-22,
Inferno X,Pokemon JP,Box,9,2026-04-22,
Perfect Order,Pokemon ENG,ETB,3,2026-04-22,
Paldean Fates Booster Pack,Pokemon ENG,Packs,74,2026-04-22,
White Flare Booster Pack,Pokemon ENG,Packs,173,2026-04-22,
Pokemon 151 Booster Pack,Pokemon ENG,Packs,100,2026-04-22,
Surging Sparks,Pokemon ENG,Packs,0,2026-04-22,
Prismatic Evolutions,Pokemon ENG,Packs,0,2026-04-22,
Prismatic Evolutions,Pokemon ENG,ETB,2,2026-04-22,
Crown Zenith,Pokemon ENG,Packs,85,2026-04-22,
Temporal Forces,Pokemon ENG,Packs,0,2026-04-22,
Journey Together,Pokemon ENG,Packs,27,2026-04-22,
Destined Rivals,Pokemon ENG,Packs,0,2026-04-22,
Twilight Masquerade,Pokemon ENG,Packs,0,2026-04-22,
Evolving Skies sleeved pack,Pokemon ENG,Packs,0,2026-04-22,
Ascended Heroes,Pokemon ENG,Packs,0,2026-04-22,
Phantasmal Flames,Pokemon ENG,Packs,0,2026-04-22,
Mega Evolution,Pokemon ENG,Packs,31,2026-04-22,
Astral Radiance,Pokemon ENG,Packs,23,2026-04-22,
Shining Fates,Pokemon ENG,Packs,0,2026-04-22,
Perfect Order sleeved pack,Pokemon ENG,Packs,0,2026-04-22,
Evolving Skies,Pokemon ENG,ETB,0,2026-04-22,
Paldea Evolved,Pokemon ENG,ETB,0,2026-04-22,
Paradox Rift,Pokemon ENG,ETB,1,2026-04-22,
Temporal Forces,Pokemon ENG,ETB,0,2026-04-22,
Silver Tempest,Pokemon ENG,Booster Box,0,2026-04-22,
Chilling Reign,Pokemon ENG,ETB,1,,
Scarlet Violet,Pokemon ENG,ETB,1,,
Lost Thunder,Pokemon ENG,ETB,0,,
Dark Crystal Blaze,Chinese Pokemon,Box,12,,
Gem Vol 2,Chinese Pokemon,Box,12,,
Legendary Collection,Pokemon ENG,Packs,4,,
Prismatic SPC,Pokemon ENG,Box,2,,
Hidden Fates,Pokemon ENG,Packs,15,,
Celebrations,Pokemon ENG,Packs,40,,